"Cao, X. et al. Effects of fluorinated solvents on electrolyte solvation structures and electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 118, e2020357118 (2021)."
"Xu, R. et al. Designing and Demystifying the Lithium Metal Interface toward Highly Reversible Batteries. Adv. Mater. 33, 2105962 (2021)."
"Yuan, S. et al. Revisiting the designing criteria of advanced solid electrolyte interphase on lithium metal anode under practical condition. Nano Energy 83, 105847 (2021)."
"Suo, L. et al. Fluorine-donating electrolytes enable highly reversible 5-V-class Li metal batteries. Proc. Natl. Acad. Sci. 115, 1156 LP – 1161 (2018)."
"May, R., Fritzsching, K. J., Livitz, D., Denny, S. R. & Marbella, L. E. Rapid Interfacial Exchange of Li Ions Dictates High Coulombic Efficiency in Li Metal Anodes. ACS Energy Lett. 6, 1162–1169 (2021)."
"Zhang, Y. et al. Solvent Molecule Cooperation Enhancing Lithium Metal Battery Performance at Both Electrodes. Angew. Chemie Int. Ed. 59, 7797–7802 (2020)."
"Maeyoshi, Y. et al. Long-Term Stable Lithium Metal Anode in Highly Concentrated Sulfolane-Based Electrolytes with Ultrafine Porous Polyimide Separator. ACS Appl. Mater. Interfaces 11, 25833–25843 (2019)."
"Chen, S. et al. High-Efficiency Lithium Metal Anode Enabled by a Concentrated/Fluorinated Ester Electrolyte. ACS Appl. Mater. Interfaces 12, 27794–27802 (2020)."
"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018)."
"Holoubek, J. et al. An All-Fluorinated Ester Electrolyte for Stable High-Voltage Li Metal Batteries Capable of Ultra-Low-Temperature Operation. ACS Energy Lett. 5, 1438–1447 (2020)."
"Zhang, S. et al. Competitive Solvation Enhanced Stability of Lithium Metal Anode in Dual-Salt Electrolyte. Nano Lett. 21, 3310–3317 (2021)."
"Xue, W. et al. FSI-inspired solvent and “full fluorosulfonyl” electrolyte for 4 V class lithium-metal batteries. Energy Environ. Sci. 13, 212–220 (2020)."
"Alvarado, J. et al. Bisalt ether electrolytes: a pathway towards lithium metal batteries with Ni-rich cathodes. Energy Environ. Sci. 12, 780–794 (2019)."
"Ren, X. et al. Localized High-Concentration Sulfone Electrolytes for High-Efficiency Lithium-Metal Batteries. Chem 4, 1877–1892 (2018)."
"Yu, L. et al. A Localized High-Concentration Electrolyte with Optimized Solvents and Lithium Difluoro(oxalate)borate Additive for Stable Lithium Metal Batteries. ACS Energy Lett. 3, 2059–2067 (2018)."
"Peng, Z. et al. High-Power Lithium Metal Batteries Enabled by High-Concentration Acetonitrile-Based Electrolytes with Vinylene Carbonate Additive. Adv. Funct. Mater. 30, 2001285 (2020)."
"Beyene, T. T. et al. Effects of Concentrated Salt and Resting Protocol on Solid Electrolyte Interface Formation for Improved Cycle Stability of Anode-Free Lithium Metal Batteries. ACS Appl. Mater. Interfaces 11, 31962–31971 (2019)."
"Holoubek, J. et al. Tailoring electrolyte solvation for Li metal batteries cycled at ultra-low temperature. Nat. Energy 6, 303–313 (2021)."
"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
"Chen, Y. et al. Steric Effect Tuned Ion Solvation Enabling Stable Cycling of High-Voltage Lithium Metal Battery. J. Am. Chem. Soc. (2021) doi:10.1021/jacs.1c09006."
"Ren, X. et al. Role of inner solvation sheath within salt–solvent complexes in tailoring electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 117, 28603–28613 (2020)."
"Fan, X. et al. Non-flammable electrolyte enables Li-metal batteries with aggressive cathode chemistries. Nat. Nanotechnol. 13, 715–722 (2018)."
"Xiao, L. et al. Stable Li Metal Anode with “Ion–Solvent-Coordinated” Nonflammable Electrolyte for Safe Li Metal Batteries. ACS Energy Lett. 4, 483–488 (2019)."
"Jiang, Z. et al. Fluorobenzene, A Low-Density, Economical, and Bifunctional Hydrocarbon Cosolvent for Practical Lithium Metal Batteries. Adv. Funct. Mater. 31, 2005991 (2021)."
"Park, K., Jo, Y., Koo, B., Lee, H. & Lee, H. Wide temperature cycling of Li-metal batteries with hydrofluoroether dilution of high-concentration electrolyte. Chem. Eng. J. 427, 131889 (2022)."
"Yang, Y. et al. Liquefied gas electrolytes for wide-temperature lithium metal batteries. Energy Environ. Sci. 13, 2209–2219 (2020)."
"Wang, H. et al. Dual-Solvent Li-Ion Solvation Enables High-Performance Li-Metal Batteries. Adv. Mater. 33, 2008619 (2021)."
"Zhang, S., Li, R., Deng, T. et al. Oscillatory solvation chemistry for a 500 Wh kg−1 Li-metal pouch cell. Nat Energy 9, 1285–1296 (2024)."
"Li, AM., Borodin, O., Pollard, T.P. et al. Methylation enables the use of fluorine-free ether electrolytes in high-voltage lithium metal batteries. Nat. Chem. 16, 922–929 (2024)."
"Su, C.-C. & Amine, K. Dicarbonyl Electrolyte for High-Voltage Lithium Metal Batteries: Importance of the Entropy of Solvation in Bidentate Solvent. ACS Energy Lett. 9, 118–125 (2024)."
"Sun, M. et al. Bianionic coordination solvation structure electrolyte for high-voltage lithium metal batteries. Energy Storage Materials 65, 103166 (2024)."
"Mao, M., Ji, X., Wang, Q. et al. Anion-enrichment interface enables high-voltage anode-free lithium metal batteries. Nat Commun 14, 1082 (2023)."
"Li, X. et al. Understanding steric hindrance effect of solvent molecule in localized high-concentration electrolyte for lithium metal batteries. Carb Neutrality 2, 34 (2023)."
"Li, P. et al. Localized Medium Concentration Electrolyte with Fast Kinetics for Lithium Metal Batteries. Angewandte Chemie International Edition 63, e202319090 (2024)."
"Guo, Q. et al. Bidirectional Interphase Modulation of Phosphate Electrolyte Enables Intrinsic Safety and Superior Stability for High-Voltage Lithium–Metal Batteries. ACS Nano 17, 24227–24241 (2023)."
"Su, C.-C. et al. Solvation Rule for Solid-Electrolyte Interphase Enabler in Lithium-Metal Batteries. Angewandte Chemie International Edition 59, 18229–18233 (2020)."
"Ma, B., Zhang, H., Li, R. et al. Molecular-docking electrolytes enable high-voltage lithium battery chemistries. Nat. Chem. 16, 1427–1435 (2024)."
"Su, C.-C. et al. Cyclic carbonate for highly stable cycling of high voltage lithium metal batteries. Energy Storage Materials 17, 284–292 (2019)."
"Ruan, D. et al. Solvent versus Anion Chemistry: Unveiling the Structure-Dependent Reactivity in Tailoring Electrochemical Interphases for Lithium-Metal Batteries. JACS Au 3, 953–963 (2023)."
"Liu, S. et al. An Inorganic-Rich Solid Electrolyte Interphase for Advanced Lithium-Metal Batteries in Carbonate Electrolytes. Angewandte Chemie International Edition 60, 3661–3671 (2021)."
"Zhang, J. et al. Non-flammable ultralow concentration mixed ether electrolyte for advanced lithium metal batteries. Energy Storage Materials 51, 660–670 (2022)."
"Fang, M., Yue, X., Dong, Y., Chen, Y. & Liang, Z. A temperature-dependent solvating electrolyte for wide-temperature and fast-charging lithium metal batteries. Joule 8, 91–103 (2024)."
"Jin, Z., Liu, Y., Xu, H., Chen, T. & Wang, C. Intrinsic Solubilization of Lithium Nitrate in Ester Electrolyte by Multivalent Low-Entropy-Penalty Design for Stable Lithium-Metal Batteries. Angewandte Chemie International Edition 63, e202318197 (2024)."
"Deng, L. et al. Asymmetrically-Fluorinated Electrolyte Molecule Design for Simultaneous Achieving Good Solvation and High Inertness to Enable Stable Lithium Metal Batteries. Advanced Energy Materials 14, 2303652 (2024)."
"Piao, Z. et al. A Semisolvated Sole-Solvent Electrolyte for High-Voltage Lithium Metal Batteries. J. Am. Chem. Soc. 145, 24260–24271 (2023)."
"Tu, H. et al. Difluoroethylene Carbonate as an Electrolyte Additive for Engineering the Electrolyte–Electrode Interphase of Lithium Metal Batteries. ACS Appl. Mater. Interfaces 15, 53533–53539 (2023)."
"Liu, X. et al. Reinforcing the Electrode/Electrolyte Interphases of Lithium Metal Batteries Employing Locally Concentrated Ionic Liquid Electrolytes. Advanced Materials 36, 2309062 (2024)."
"Liu, X. et al. Effect of organic cations in locally concentrated ionic liquid electrolytes on the electrochemical performance of lithium metal batteries. Energy Storage Materials 44, 370–378 (2022)."
"Liu, X. et al. Difluorobenzene-Based Locally Concentrated Ionic Liquid Electrolyte Enabling Stable Cycling of Lithium Metal Batteries with Nickel-Rich Cathode. Advanced Energy Materials 12, 2200862 (2022)."
"Zhu, M., Jiao, X., Wang, W., Chen, H. & Li, F. Localized high-concentration electrolyte enabled by a novel ester diluent for lithium metal batteries. Chem. Commun. 59, 712–715 (2023)."
"Zhu, X. et al. Non-Fluorinated Cyclic Ether-Based Electrolyte with Quasi-Conjugate Effect for High-Performance Lithium Metal Batteries. Angewandte Chemie International Edition n/a, e202412859."
"Peng, H. et al. Diluent modified weakly solvating electrolyte for fast-charging high-voltage lithium metal batteries. Chinese Chemical Letters 109556 (2024) doi:10.1016/j.cclet.2024.109556."
"Wen, Z. et al. Dual-Salt Electrolyte Additive Enables High Moisture Tolerance and Favorable Electric Double Layer for Lithium Metal Battery. Angewandte Chemie International Edition 63, e202314876 (2024)."
"Rao, Y. et al. Fluorinated electrolyte formulations design enabling high-voltage and long-life lithium metal batteries. Nano Energy 123, 109362 (2024)."
"Pu, Y., Wang, Q., Dou, R., Ren, X. & Lu, L. A crown-ether-enabled eutectic electrolyte for ultra-high temperature lithium metal batteries. Energy Storage Materials 67, 103285 (2024)."
"Hai, F. et al. A Low-Cost, Fluorine-Free Localized Highly Concentrated Electrolyte Toward Ultra-High Loading Lithium Metal Batteries. Advanced Energy Materials 14, 2304253 (2024)."
"Chen, S. et al. High-Efficiency Lithium Metal Batteries with Fire-Retardant Electrolytes. Joule 2, 1548–1558 (2018)."
"Xu, C., Chen, L., Zhou, X. & Liu, Z. Achieving a Practical High-Voltage Lithium Metal Battery by the Use of a High-Concentration Fluorinated Carbonate Electrolyte. J. Phys. Chem. C 128, 7884–7891 (2024)."
"Zhang, Y. et al. Tuning the FEC-Related Electrolyte Solvation Structures in Ether Solvents Enables High-Performance Lithium Metal Anode. Advanced Functional Materials 34, 2315527 (2024)."
"Xiao, P. et al. A nonflammable electrolyte for ultrahigh-voltage (4.8 V-class) Li||NCM811 cells with a wide temperature range of 100 °C. Energy Environ. Sci. 15, 2435–2444 (2022)."
"Lan, K. et al. A Hybrid-Salt Strategy for Modulating the Li+ Solvation Sheathes and Constructing Robust SEI in Non-Flammable Electrolyte Lithium Metal Batteries. ChemSusChem 17, e202400210 (2024)."
"Kim, S. et al. Electrolyte Design for High-Voltage Lithium-Metal Batteries with Synthetic Sulfonamide-Based Solvent and Electrochemically Active Additives. Advanced Materials 36, 2401615 (2024)."
"Hu, G. et al. Strongly solvating triglyme-based electrolyte realizes stable lithium metal batteries at high-voltage and high-temperature. Energy Storage Materials 69, 103402 (2024)."
"Lan, K. et al. Achieving safe high-voltage lithium-metal batteries by tailoring electrolyte systems. J. Mater. Chem. A 12, 23590–23600 (2024)."
"Chen, L. et al. Dynamic shielding of electrified interface enables high-voltage lithium batteries. Chem 10, 1196–1212 (2024)."
"Zhao, Y. et al. Fluorinated ether electrolyte with controlled solvation structure for high voltage lithium metal batteries. Nat Commun 13, 2575 (2022)."
"Yang, T. et al. A Safe Ether Electrolyte Enabling High-Rate Lithium Metal Batteries. Advanced Functional Materials 34, 2404945 (2024)."
"Liu, Y. et al. Regulating Electrolyte Solvation Structures via Diluent-Solvent Interactions for Safe High-Voltage Lithium Metal Batteries. Small 20, 2311812 (2024)."
"Zou, Y. et al. Intermolecular Interactions Mediated Nonflammable Electrolyte for High-Voltage Lithium Metal Batteries in Wide Temperature. Advanced Energy Materials 13, 2300443 (2023)."
"Zhang, C. et al. Nonflammable, localized high-concentration electrolyte towards a high-safety lithium metal battery. Energy Storage Materials 52, 355–364 (2022)."
"Qin, J. et al. Amphiphilic molecule-assisted perfluoro-alkanes electrolyte for low temperature lithium metal batteries. Chemical Engineering Journal 496, 153818 (2024)."
"Fang, G. et al. Tuning the ion-dipole interactions between fluoro and carbonyl (EC) by electrolyte design for stable lithium metal batteries. Chinese Chemical Letters 36, 110385 (2025)."
"Xue, Y. et al. Molecular Design of Mono-Fluorinated Ether-Based Electrolyte for All-Climate Lithium-Ion Batteries and Lithium-Metal Batteries. Angewandte Chemie n/a, e202414201."
"Zhang, E. et al. Monofluorinated acetal electrolyte for high-performance lithium metal batteries. Proceedings of the National Academy of Sciences 122, e2418623122 (2025)."
"Cui, Z. et al. Push–Pull Electrolyte Design Strategy Enables High-Voltage Low-Temperature Lithium Metal Batteries. J. Am. Chem. Soc. 146, 27644–27654 (2024)."
"Yang, Y. et al. Remodeling Highly Fluorinated Electrolyte via Shielding Agent Regulation toward Practical Lithium Metal Batteries. Advanced Science n/a, 2404248."
"Moon, J. et al. Non-fluorinated non-solvating cosolvent enabling superior performance of lithium metal negative electrode battery. Nat Commun 13, 4538 (2022)."
"Tan, L. et al. A 5 V ultrahigh energy density lithium metal capacitor enabled by the fluorinated electrolyte. Energy Storage Materials 71, 103692 (2024)."
"Park, E. et al. Exploiting the Steric Effect and Low Dielectric Constant of 1,2-Dimethoxypropane for 4.3 V Lithium Metal Batteries. ACS Energy Lett. 8, 1, 179-188 (2023)"
"Zhao, Y., Zhou, T., Mensi, M. et al. Electrolyte engineering via ether solvent fluorination for developing stable non-aqueous lithium metal batteries. Nat Commun 14, 299 (2023)."
"Zhang, G., Chang, J., Wang, L. et al. A monofluoride ether-based electrolyte solution for fast-charging and low-temperature non-aqueous lithium metal batteries. Nat Commun 14, 1081 (2023)."
"Chen Y, Liao S-L, Gong H, Zhang Z, Huang Z, Kim SC, et al. Hyperconjugation-Controlled Molecular Conformation Weakens Lithium-Ion Solvation and Stabilizes Lithium Metal Anode . ChemRxiv. 2024; doi:10.26434/chemrxiv-2024-96jh5 This content is a preprint and has not been peer-reviewed."
"Lu, Y., Cao, Q., Zhang, W. et al. Breaking the molecular symmetricity of sulfonimide anions for high-performance lithium metal batteries under extreme cycling conditions. Nat Energy (2024)."
"Chen, J., Zhang, D., Zhu, L. et al. Hybridizing carbonate and ether at molecular scales for high-energy and high-safety lithium metal batteries. Nat Commun 15, 3217 (2024)."
"Wu, M. et al. High-Performance Lithium Metal Batteries Enabled by a Fluorinated Cyclic Ether with a Low Reduction Potential. Angew. Chemie 8, e202216169 (2023)."
"Pompizii, L. et al.  Solvation Structure Engineering of Weakly Coordinating Sulfonamide Electrolytes for 4.6V Lithium Metal Batteries. ACS Energy Lett. 10, 246−253 (2025)"
"Li, Z., Rao, H., Atwi, R. et al. Non-polar ether-based electrolyte solutions for stable high-voltage non-aqueous lithium metal batteries. Nat Commun 14, 868 (2023)."
"Zhao. Y., et al. Electrolyte engineering for highly inorganic solid electrolyte interphase in high-performance lithium metal batteries. Chem 9, 682-697 (2023)."
"Kim. M., et al. Anti-corrosive electrolyte design for extending the calendar life of lithium metal batteries. Energy Environ. Sci., 17, 6079 (2024)"
"Lee. K., et al. Fluorinated Cyclic Ether Diluent for High-Voltage Lithium Metal Batteries. ACS Energy Lett. 9, 2201-2211 (2024)"
"Qiao. R. et al. Non-fluorinated electrolytes with micelle-like solvation for ultra-high-energy-density lithium metal batteries. Chem. 11, 102306 (2025)"
"Choi, I.R., Chen, Y., Shah, A. et al. Asymmetric ether solvents for high-rate lithium metal batteries. Nat Energy (2025)."
"Kim, S. C. et al. Data-driven electrolyte design for lithium metal anodes. Proceedings of the National Academy of Sciences 120, e2214357120 (2023)."
"Sun, C. et al. Reduction-Tolerance Electrolyte Design for High-Energy Lithium Batteries. Angewandte Chemie International Edition 63, e202400761 (2024)."
"Xue, W. et al. Stabilizing electrode–electrolyte interfaces to realize high-voltage Li||LiCoO2 batteries by a sulfonamide-based electrolyte. Energy Environ. Sci. 14, 6030–6040 (2021)."
"Lai, P. et al. Adsorption-attraction electrolyte addressing anion-deficient interface for lithium metal batteries. eScience 100399 (2025) doi:10.1016/j.esci.2025.100399."
"Zhu, C. et al. Anion–Diluent Pairing for Stable High-Energy Li Metal Batteries. ACS Energy Lett. 7, 1338–1347 (2022)."
"Wang, Y. et al. Ether-Modified Nonflammable Phosphate Enabling Anion-Rich Electrolyte for High-Voltage Lithium Metal Batteries. Advanced Materials 36, 2312302 (2024)."
"Liu, P. et al. Difluorobenzene as an Antisolvent for Fluorinated Electrolyte to Achieve Unparalleled Cycle Life of Lithium Metal Battery. ACS Appl. Mater. Interfaces 16, 63628–63637 (2024)."
"Gu, S. et al. Internal Electron-Donation Allocation Design for Intrinsic Solubilization of Lithium Nitrate in Ester Electrolyte for Stable Lithium Metal Batteries. Angewandte Chemie International Edition 64, e202410020 (2025)."
"Li, Y. et al. Electrolyte Engineering to Construct Robust Interphase with High Ionic Conductivity for Wide Temperature Range Lithium Metal Batteries. Angewandte Chemie International Edition 64, e202414636 (2025)."
"Yu, H. et al. Intrinsically Unpolymerized Cyclic Ether Electrolyte for Energy-Dense Lithium Metal Batteries. CCS Chemistry 0, 1–14 (2024)."
"He, S. et al. A self-assembly capsule-like solvation structure electrolyte for lithium metal batteries. Materials Today Energy 48, 101759 (2025)."
"Li, Z. et al. A Tetrahydropyran-Based Weakly Solvating Electrolyte for Low-Temperature and High-Voltage Lithium Metal Batteries. Advanced Energy Materials n/a, 2404120."
"Kim, S. C. et al. High-entropy electrolytes for practical lithium metal batteries. Nat Energy 8, 814–826 (2023)."
"Wang, J. et al. 2H,3H-Decafluoropentane Endorsed Localized High Concentration Electrolyte for Low-Temperature Lithium-Metal Batteries. ChemPhysChem n/a, e202400920."
"Li, Q. et al. Electrolyte Solvent-Ion Configuration Deciphering Lithium Plating/Stripping Chemistry for High-Performance Lithium Metal Battery. Advanced Functional Materials n/a, 2420327."
"Kim, B. et al. Succinonitrile-Rich Electrolyte Solvation Structure Enables Wide-Temperature-Range Operation of Lithium-Metal Batteries. Small Methods n/a, 2401957."
"Chai, R. et al. Hybrid Solvent Coupled with Dual-Salt Electrolyte Enables High-Performance Lithium–Metal Batteries. ACS Appl. Mater. Interfaces 17, 10755–10764 (2025)."
"Li, S. et al. Electrolyte with single salt and single solvent enables FeS2-based lithium metal batteries with all-climate high performance. Energy Storage Materials 76, 104124 (2025)."
"Zhang, Y., Lai, P., Deng, X., Zhang, P. & Zhao, J. Anion-oriented solvation regulation of a dual-salt electrolyte for lithium metal batteries. Chemical Engineering Journal 507, 160482 (2025)."
"Wang, Y. et al. Fully Methylated Siloxane-Based Electrolyte for Practical Lithium Metal Batteries. J. Am. Chem. Soc. (2025) doi:10.1021/jacs.5c02140."
"Xu, Z. et al. High-voltage and intrinsically safe electrolytes for Li metal batteries. Nat Commun 15, 9856 (2024)."
"Wu, S. et al. Uncovering the Crucial Role of Chelating Structures in Cyano-Alkyl-Phosphate Electrolytes for High-Voltage Lithium Metal Batteries. J. Am. Chem. Soc. 146, 28770–28782 (2024)."
"Wu, L.-Q. et al. Unveiling the Role of Fluorination in Hexacyclic Coordinated Ether Electrolytes for High-Voltage Lithium Metal Batteries. J. Am. Chem. Soc. 146, 5964–5976 (2024)."
"Liu, J. et al. Screening of F-containing electrolyte additives and clarifying their decomposition routes for stable Li metal anodes. Nat Commun 15, 9356 (2024)."
"Liu, Q. et al. A fluorinated cation introduces new interphasial chemistries to enable high-voltage lithium metal batteries. Nat Commun 14, 3678 (2023)."
"Wu, L.-Q. et al. Regulating Amine Substitution in Fluorosulfonyl-Based Flame-Retardant Electrolytes for Energy-Dense Lithium Metal Batteries. J. Am. Chem. Soc. (2025) doi:10.1021/jacs.5c03606."
"Mominur Rahman, M. & Hu, E. Electron Delocalization Enables Sulfone-based Single-solvent Electrolyte for Lithium Metal Batteries. Angewandte Chemie International Edition 62, e202311051 (2023)."
"Song, J. et al. Double-Weak Coordination Electrolyte Enables 5 V and High Temperature Lithium Metal Batteries. Small n/a, 2502620."
"Yang, W., Chen, A., He, P. & Zhou, H. Advancing lithium metal electrode beyond 99.9% coulombic efficiency via super-saturated electrolyte with compressed solvation structure. Nat Commun 16, 4229 (2025)."
"Wang, Z., Chen, C., Wang, D., Zhu, Y. & Zhang, B. Stabilizing Interfaces in High-Temperature NCM811-Li Batteries via Tuning Terminal Alkyl Chains of Ether Solvents. Angewandte Chemie International Edition 62, e202303950 (2023)."
"Huang, Y. et al. Eco-friendly electrolytes via a robust bond design for high-energy Li metal batteries. Energy Environ. Sci. 15, 4349–4361 (2022)."
"Yin, X. et al. Solvent-derived organic-rich SEI enables capacity enhancement for low-temperature lithium metal batteries. Joule 9, 101823 (2025)."
"Hou, W. et al. Fluorinated Carbamate-Based Electrolyte Enables Anion-Dominated Solid Electrolyte Interphase for Highly Reversible Li Metal Anode. ACS Nano 17, 17527–17535 (2023)."
"Zhang, Q.-K. et al. Regulating Solvation Structure in Nonflammable Amide-Based Electrolytes for Long-Cycling and Safe Lithium Metal Batteries. Advanced Energy Materials 12, 2200139 (2022)."
"Wu, J. et al. Unique Tridentate Coordination Tailored Solvation Sheath Toward Highly Stable Lithium Metal Batteries. Advanced Materials 35, 2303347 (2023)."
"Chen, S. et al. Strongly Solvating Ether Electrolytes for High-Voltage Lithium Metal Batteries. ACS Appl. Mater. Interfaces 15, 13155–13164 (2023)."
"Mao, M. et al. Electrolyte design combining fluoro- with cyano-substitution solvents for anode-free Li metal batteries. Proceedings of the National Academy of Sciences 121, e2316212121 (2024)."
